Name,Average Runtime,End Date,Premiere Date,Genres,Type,Language,Network,Critic_Rating,Total Seasons,Total Episodes,Premier Date,User_Rating,vote_count,poster_path,tagline,Metacritic_Rating
Breaking Bad,60.0,2008-01-20,2019-10-11,"['Drama', 'Crime', 'Thriller']",Scripted,English,AMC,9.2,5,62,2019-10-11,8.89,12398.0,/3xnWaLQjelJDDF7LT1WBo6f4BRe.jpg,Change the equation.,88.2
Firefly,64.0,2002-09-20,2002-12-20,"['Drama', 'Adventure', 'Science-Fiction']",Scripted,English,FOX,9.0,1,14,2002-12-20,8.331,1830.0,/vZcKsy4sGAvWMVqLluwYuoi11Kj.jpg,You can't take the sky from me.,63.0
Avatar: The Last Airbender,30.0,2005-02-21,2008-07-19,"['Action', 'Adventure', 'Fantasy']",Animation,English,Nickelodeon,8.9,3,61,2008-07-19,8.69,3497.0,/cHFZA8Tlv03nKTGXhLOYOLtqoSm.jpg,Water. Earth. Fire. Air.,N/A
Sherlock,90.0,2010-07-25,2017-01-15,"['Drama', 'Crime', 'Mystery']",Scripted,English,BBC One,8.9,4,12,2017-01-15,8.537,4716.0,/7WTsnHkbA0FaG6R9twfFde0I9hl.jpg,A new sleuth for the 21st century.,88.0
The Wire,60.0,2002-06-02,2008-03-09,"['Drama', 'Crime']",Scripted,English,HBO,8.9,5,60,2008-03-09,8.535,1889.0,/4lbclFySvugI51fwsyxBTOm4DqK.jpg,All in the game.,91.8
Gravity Falls,30.0,2012-06-15,2016-02-15,"['Adventure', 'Mystery', 'Supernatural']",Animation,English,Disney XD,8.9,2,40,2016-02-15,8.531,2512.0,/dNxEEK5CdNQbp4YcEtICXelRqvP.jpg,Just west of weird.,N/A
Band of Brothers,59.0,2001-09-09,2001-11-04,"['Drama', 'Action', 'War']",Scripted,English,HBO,8.9,1,10,2001-11-04,8.488,3107.0,/pGzV187ogXzgJrvPRy2YPi29ofH.jpg,There was a time when the world asked ordinary men to do extraordinary things.,86.0
Game of Thrones,61.0,2011-04-17,2019-05-19,"['Drama', 'Adventure', 'Fantasy']",Scripted,English,HBO,8.9,8,73,2019-05-19,8.442,21857.0,/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg,Winter Is Coming,83.88
The Twilight Zone,33.0,1959-10-02,1964-06-19,"['Science-Fiction', 'Mystery', 'Supernatural']",Scripted,English,CBS,8.9,5,156,1964-06-19,8.472,780.0,/7uY4pCOxbEdv4M8jTE4uMPVoSIW.jpg,You are about to enter another dimension.,N/A
The Twilight Zone,33.0,1959-10-02,1964-06-19,"['Science-Fiction', 'Mystery', 'Supernatural']",Scripted,English,CBS,8.9,5,156,1964-06-19,6.721,306.0,/aEuzZqJTEH9E4JwQyv8JtuCu22B.jpg,What dimension are you even in?,N/A
The Twilight Zone,33.0,1959-10-02,1964-06-19,"['Science-Fiction', 'Mystery', 'Supernatural']",Scripted,English,CBS,8.9,5,156,1964-06-19,7.3,92.0,/sS1ykUhvyurff4CohExIh8qYO99.jpg,Check your reality at the door.,N/A
Stargate SG-1,60.0,1997-07-27,2008-07-29,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,Syfy,8.9,10,213,2008-07-29,8.255,1365.0,/rst5xc4f7v1KiDiQjzDiZqLtBpl.jpg,Saving the world... one episode at a time,48.0
Stargate Atlantis,60.0,2004-07-16,2009-01-09,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,Syfy,8.8,5,100,2009-01-09,8.017,901.0,/l0JYr2iqwId6VOmCV8dHzlIM6Wd.jpg,A new gate will open. A lost city will rise again.,N/A
Oz,60.0,1997-07-12,2003-02-23,"['Drama', 'Crime']",Scripted,English,HBO,8.8,6,56,2003-02-23,8.064,621.0,/oTQ9PUnCgf9CimYeWuDGp8iaT07.jpg,Life's not a word. It's a sentence.,70.0
The Sopranos,60.0,1999-01-10,2007-06-10,"['Drama', 'Crime']",Scripted,English,HBO,8.8,6,86,2007-06-10,8.6,2292.0,/xjORbljyMZ8mgYlnftYOVujHoAi.jpg,Family. Redefined.,94.5
Person of Interest,60.0,2011-09-22,2016-06-21,"['Action', 'Crime', 'Science-Fiction']",Scripted,English,CBS,8.8,5,103,2016-06-21,8.1,1483.0,/6FuKOyJgViZXgMDOq9djFJLWPqX.jpg,You're Being Watched,66.0
